texto_review,sentimento_real,sentimento_previsto
Ótimo e antecipado ,1,1
"Recebi o chaveiro na cor bronze, apesar de ter pedido o da cor preta, nas imagens do site, a cor era bem diferente de bronze, era cor escura. Não entendi! A loja tem que ter mais cuidado! ",1,0
Ótimo ,1,1
A barraca veio com falhas na costura. Dei uma estrela porque não envia se não der nenhuma,0,0
"Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entrar.",0,0
"Produto Entregue no prazo,Loja super prestativa. Recomendo a todos que comprem seus produtos. Preço , prazo , 
confiabilidade acima de tudo..
Obrigado",1,1
excelente serviço.,1,1
Gostei sim .só acho que como compramos pela americana deveria chegar tudo junto ,1,1
Recebi somente parte do pedido.,0,0
"Recebi a máscara com trincas no acrílico frontal, como faço para reclamar?",1,1
Porém chegou sem as baterias.,1,1
Infelizmente comprei um produto que veio trocado e não consegui solução com 2 meses de pagamento e 1 mês do produto errado entregue! AVISO: Não comprem dessa loja!,0,0
"Produto lindo , nota 10 ",1,1
Péssimo não me deram nenhuma informação nem código e pior não me entregaram ,0,0
"Otimo, entra antes prazo, muito bom o produto.",1,1
Bom atendimento,1,1
A loja fez a entrega antes do prazo mas o produto veio com bastante defeito de 104 sombras da paleta veio faltando 15 isso pra mim é número bem significante! ,0,1
Chegou no prazo estipulado. Porém veio faltando umas peças pequenas que dá o Acabamento. A cadeira o material percebo näo ser muito resistente.,0,0
Top,1,1
produto entregue e dentro do prazo estipulado pelo vendedor.,1,1
Produto muito bom eu recomendo ,1,1
AGUARDO UM RETORNO PARA RESOLVERMOS O ASSUNTO E MINIMIZAR O TRANSTORNO,0,0
seria bom se a entrega fosse feita em menos tempo...,1,1
"Produto excelente bom, bonito gostei muito atendeu as minhas expectativas, fiz o teste pra saber sobre prova dagua, tudo ok, eu recomendo nota mil. ",1,1
"A mercadoria chegou parcialmente, encomendei duas unidades, e rebemos até agora apenas uma unidade, no status do pedido, marca mercadoria entregue. Tento fazer contato pelos telefones, e só cai em gra",0,0
Obrigada ... Pela atenção e rapidez. ,1,1
estamos testando,1,1
Só não gostei pq tive que ir buscar no correio,1,1
Muito bom os produtos e foi entregs bem antes do prazo ,1,1
Consta que foi entregue mas não recebi,0,0
Foi muito bom comprar pelo site parabéns ,1,1
Ainda é cedo para avaliar o produto,1,1
PRODUTO ENTREGUE DENTRO PRAZO ESTABELECIDO.,1,1
"Boa tarde,qdo comprei era cartucho hp 933XL original e veio cartucho desconhecido com tinta.
No anuncio nao deveriam colocar a embalagem do produto,pois pela foto é que eu queria mas vei o generico.",0,0
Ótimo entregue no prazo,1,1
Eu solicitei devolucao do valor pois o produto veio com defeito e nao foi aceito pela impressora apontando defeito.,0,0
"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",0,1
"Somente tive problema na entrega. Quando o produto chegava em minha residência, eu não estava em casa. Houve desencontro. Sugiro que vocês liguem antes da entrega para evitar desen-
contros.",1,1
Meu produto chegou em perfeito estado e antes do prazo de entrega!!,1,1
"Bom produto,gostei muito",1,1
Comprei uma pelícola do Moto Z2 Play e veio do Asus ZenFone 4 Selfie. Os tamanhos de tela são diferentes. Sacanagem.,0,0
Recomendo,1,1
"Gostei, e parabenizo pela pontualidade da entrega. Obrigada!",1,1
ok,1,1
Excelente!,1,1
Muito bom.,1,1
A entrega ocorreu antes do prazo... Oque me surpreendeu muito... ,1,1
Olá BOM DIA Ñ recebir meus pididos escova progressiva Salvatore Ok ,0,1
Muito bonito do jeito que eu esperava.,1,1
Bom,1,1
"Parabéns loja lannister, entregou o produto antes do prazo, Eu recomendo a loja lannister!!!",1,1
Sempre comprei pela lannister.Nunca tive problema. Recomendo.,1,1
nao compensa nao imprimi nem 30 folhas com o cartucho preto..... nao compensa,0,0
"Gostei do fone, se cocneta fácil ao celular, bom som.",1,1
Meu pedido chegou faltando um item.,0,0
"Comprei 2 capas de travesseiro e um de colchão, mas chegou apenas 1 capa de travesseiro",0,0
"Recebido minha compra exatamente como encomendado e, antes do tempo previsto para a entrega. Recomendo.

",1,1
Muito boa,1,1
"o produto chegou antes do prazo o que posso dizer e que as lannister e uma loja que se preocupa com o seu consumidor, e quando eu precisar compra novamente irei comprar so nas lannister. obrigado. ",1,1
Amei muito lindos e de boa qualidade obrigado lannister ,1,1
Demorou um pouco pra fazer a nota fiscal mas não tem problema.,1,1
"Sou cliente a muito tempo das lojas lannister.
adoro sempre fui muito bem atendida nos prazos e produtos.",1,1
"O processo ocorreu direito, mas durante todo o período da compra aparecia uma valor de frete promocional de 18,00 reais e quando eu fechei a compra o valor subiu para 56,00. ",0,1
Produto de excelente qualidade muito bom ,1,1
"A bolsa que o site descreve não bate com a que recebi. A qualidade do produto é péssima! É uma bolsa maternidade bem frágil. Chegou antes do prazo, porém não recomendo comprar.",0,1
Preços excelentes!!!,1,1
Dentro do previsto,1,1
